topic,period,pred_ratio,norm_ratio,z_stat,p_value,Cohen's h
-1.0,2019,0.0,,,,
-1.0,2020,0.0,,,,
-1.0,2021,0.0,0.0,,,0.0
-1.0,2022,0.0,0.0,,,0.0
-1.0,2023,0.0,0.15384615384615385,-1.2341300268111635,0.8914227718792064,-0.8061141489322265
-1.0,2024,0.0,0.0,,,0.0
-1.0,≤2015,0.0,,,,
0.0,2016,,0.0,,,
0.0,2017,,0.0,,,
0.0,2018,,0.08695652173913043,,,
0.0,2019,0.0,0.0,,,0.0
0.0,2020,,0.0,,,
0.0,2021,0.0,0.0,,,0.0
0.0,2022,0.0,0.0,,,0.0
0.0,2023,0.0,0.0196078431372549,-0.37404166960073804,0.6458133426457893,-0.2809794035070407
0.0,2024,0.0,0.0205761316872428,-1.2451176630192182,0.8934557488106132,-0.28788071775553864
0.0,≤2015,,0.0,,,
1.0,2017,0.0,,,,
1.0,2019,0.0,,,,
1.0,2020,,0.0,,,
1.0,2021,0.0,0.0,,,0.0
1.0,2022,0.0,0.0,,,0.0
1.0,2023,0.1511627906976744,0.0,1.5040507770216347,0.06628414649401076,0.7986501204569758
1.0,2024,0.17865429234338748,0.0,2.668493265530338,0.0038096152981757373,0.8727901922186221
1.0,≤2015,0.0,,,,
10.0,2020,,0.0,,,
10.0,2021,0.0,0.0,,,0.0
10.0,2022,0.0,0.03636363636363636,-0.3361354087075817,0.6316156209927544,-0.383735122971382
10.0,2023,0.0,0.043478260869565216,-0.6021332746756556,0.7264572865743283,-0.42011147814247773
10.0,2024,0.11363636363636363,0.0,4.23714147458492,1.1319175084658949e-05,0.6876696519111218
10.0,≤2015,0.0,,,,
11.0,2019,,0.0,,,
11.0,2020,0.0,0.0,,,0.0
11.0,2021,0.0,0.0,,,0.0
11.0,2022,0.0,0.0,,,0.0
11.0,2023,0.2222222222222222,0.03,2.640197561242939,0.004142885515563735,0.6335993353056619
11.0,2024,0.14705882352941177,0.0,4.356510367498712,6.607621823798269e-06,0.787128270656128
12.0,2016,0.0,,,,
12.0,2017,0.0,,,,
12.0,2018,0.0,0.0,,,0.0
12.0,2019,0.0,0.0,,,0.0
12.0,2020,0.0,0.0,,,0.0
12.0,2021,0.0,0.0,,,0.0
12.0,2022,0.0,0.0,,,0.0
12.0,2023,0.0,0.0,,,0.0
12.0,2024,0.06060606060606061,0.0,1.465081788319221,0.07144930236376465,0.4974800999185628
12.0,≤2015,0.0,,,,
13.0,2017,0.0,,,,
13.0,2019,0.0,0.0,,,0.0
13.0,2020,1.0,0.0,1.732050807568877,0.041632258331775224,3.141592653589793
13.0,2021,0.0,0.0,,,0.0
13.0,2022,0.0,0.0,,,0.0
13.0,2023,0.1,0.0,1.3904435743076142,0.08219711119582895,0.6435011087932844
13.0,2024,0.1717171717171717,0.0,3.381618478532644,0.0003603007525772341,0.8545398493301405
13.0,≤2015,,0.0,,,
14.0,2016,0.0,0.0,,,0.0
14.0,2017,0.0,,,,
14.0,2018,0.0,,,,
14.0,2019,0.0,,,,
14.0,2020,0.0,0.0,,,0.0
14.0,2021,0.0,0.0,,,0.0
14.0,2022,0.0,0.0,,,0.0
14.0,2023,0.0,0.0,,,0.0
14.0,2024,0.07936507936507936,0.0,1.0101525445522108,0.15621110562134677,0.5711684985655375
14.0,≤2015,0.0,0.0,,,0.0
15.0,2016,0.0,0.0,,,0.0
15.0,2017,0.0,,,,
15.0,2018,0.0,0.0,,,0.0
15.0,2019,0.0,0.0,,,0.0
15.0,2020,0.0,0.0,,,0.0
15.0,2021,0.0,0.0,,,0.0
15.0,2022,0.0,0.16666666666666666,-1.2171612389003692,0.8882285627143398,-0.8410686705679302
15.0,2023,0.0,0.0,,,0.0
15.0,2024,0.0,0.09090909090909091,-2.1194288404250967,0.9829728791911645,-0.6125547383393389
15.0,≤2015,0.0,0.0,,,0.0
16.0,2019,,0.6666666666666666,,,
16.0,2020,,0.0,,,
16.0,2021,,0.0,,,
16.0,2022,0.0,0.0,,,0.0
16.0,2023,0.3333333333333333,0.047619047619047616,2.6157668139275563,0.0044513667173709266,0.7909834625498557
16.0,2024,0.0,0.036036036036036036,-1.2612972967825113,0.8963991226036689,-0.3819812480747539
17.0,2016,0.0,,,,
17.0,2017,0.0,,,,
17.0,2018,0.0,,,,
17.0,2020,0.0,0.0,,,0.0
17.0,2021,0.0,0.0,,,0.0
17.0,2022,0.0,0.2,-0.966091783079296,0.833000872089001,-0.9272952180016122
17.0,2023,0.0,0.0,,,0.0
17.0,2024,0.03636363636363636,0.0,0.9679098150818871,0.16654470601043336,0.383735122971382
17.0,≤2015,0.0,,,,
18.0,2018,0.0,0.0,,,0.0
18.0,2019,,0.0,,,
18.0,2020,0.0,0.2,-0.49441323247304414,0.6894928146693575,-0.9272952180016122
18.0,2021,0.0,0.0,,,0.0
18.0,2022,0.0,0.0625,-0.4459412925079224,0.6721801731626911,-0.5053605102841573
18.0,2023,0.0,0.08,-0.6567895774291854,0.7443418865945284,-0.5735131044230968
18.0,2024,0.058823529411764705,0.023529411764705882,0.9650411119875086,0.16726211016520737,0.18195532854253693
18.0,≤2015,,0.0,,,
19.0,2019,,0.6666666666666666,,,
19.0,2020,,0.0,,,
19.0,2021,,0.0,,,
19.0,2022,0.0,0.0,,,0.0
19.0,2023,0.0,0.07317073170731707,-0.8817250276533177,0.8110372383660471,-0.5478265606068082
